isim,cinsiyet,yas,boy,kilo,takim,uok,yil,sezon,sehir,spor,etkinlik,madalya
Moira Abernethy (-Ford),F,17.0,172.8904109589041,62.60313174946004,South Africa,RSA,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,TUR,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,Bulgaria,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,United States,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,EGY,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
Attila brahm,M,21.0,192.0,88.0,Hungary,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Attila brahm,M,21.0,192.0,88.0,Hungary,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Attila brahm,M,25.0,192.0,88.0,Hungary,HUN,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Ara Abrahamian,M,29.0,191.0,84.0,Sweden,SWE,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Isak Abrahamsen,M,21.0,175.33896987366376,70.70239290053351,Norway,NOR,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Sweden,SWE,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
Karl Gustaf Emanuel Abrahamsson,M,31.0,180.99144412756027,83.77559260224017,Sweden,SWE,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,Russia,RUS,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Soviet Union,URS,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,RUS,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Spain,ESP,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Russia,RUS,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
Saypulla Atavovich Absaidov,M,22.0,168.0,68.0,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Julien Absalon,M,23.0,180.0,68.0,France,FRA,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Julien Absalon,M,27.0,180.0,68.0,France,FRA,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,JOR,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Japan,JPN,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,URS,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
Magomedgasan Mingazhutdinovich Abushev,M,20.0,170.0,62.0,Soviet Union,URS,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,M,24.0,194.0,104.0,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
Paul Accola,M,20.0,176.0,82.0,Switzerland,SUI,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Domingo Gmez-Acedo Villanueva,M,21.0,177.4803386127799,73.08664412510566,Spain,ESP,1920,Summer,Antwerpen,Football,Football Men's Football,Silver
Anibl Santiago Acevedo,M,21.0,176.0,67.0,Puerto Rico,PUR,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
Daniel Aceves Villagrn,M,19.0,158.0,52.0,Mexico,MEX,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Joachim Yaw Acheampong,M,18.0,181.0,73.0,Ghana,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Alfred Achermann,M,24.0,176.0,75.0,Switzerland,SUI,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Abdel Hak Achik,M,29.0,165.0,54.0,Morocco,MAR,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Morocco,MAR,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Soviet Union,URS,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,NED,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,Netherlands,NED,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
Fausto Alesio Acke (Padovini-),M,22.0,177.0,73.0,Sweden,SWE,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Paul Douglas Ackerley,M,27.0,179.0,68.0,New Zealand,NZL,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
"Charles Edwin ""Charley"" Ackerly",M,22.0,166.2173913043478,61.72397476340694,United States,USA,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Ronny Ackermann,M,24.0,184.0,69.0,Germany,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
Ronny Ackermann,M,24.0,184.0,69.0,Germany,GER,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
Ronny Ackermann,M,28.0,184.0,69.0,Germany,GER,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
Donat Acklin,M,26.0,190.0,99.0,Switzerland-1,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,26.0,190.0,99.0,Switzerland-1,SUI,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
Donat Acklin,M,28.0,190.0,99.0,Switzerland-1,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,28.0,190.0,99.0,Switzerland-1,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
Guido Acklin,M,24.0,200.0,104.0,Switzerland-2,SUI,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,Argentina,ARG,2008,Summer,Beijing,Football,Football Men's Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,Cuba,CUB,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
Martn Ral Acosta y Lara Daz,M,27.0,194.87262357414448,91.68352893565358,Uruguay,URU,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Kazimierz Piotr Adach,M,23.0,162.0,60.0,Poland,POL,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
